id,sourceGroup,sourceIndex,originalType,finalType,finalTypeCn,stem,optionA,optionB,optionC,optionD,optionE,optionF,optionG,answer,analysis,reviewStatus,note,deleted
PV-001,选择判断题,1,单选题,single,单选题,光伏电站根据是否与电网相连，可以分为哪两种类型?,小型和大型,低压和高压,离网和并网,分布式和集中式,,,,C,,已初审,,否
PV-002,选择判断题,2,单选题,single,单选题,下列哪项不属于光伏电站的主要组成部分?,光伏组件,逆变器,柴油发电机,汇流箱,,,,C,,已初审,,否
PV-003,选择判断题,3,单选题,single,单选题,大型荒漠地面并网光伏电站通常采用哪种类型的逆变器?,组串式逆变器,微型逆变器,集中式逆变器,模块化逆变器,,,,C,,已初审,,否
PV-004,选择判断题,4,单选题,single,单选题,离网光伏电站中，用于储存电能的设备是?,逆变器,汇流箱,蓄电池,变压器,,,,C,,已初审,,否
PV-005,选择判断题,5,单选题,single,单选题,下列哪项是分布式并网光伏电站的主要特点?,投资大、建设周期长,远离负荷中心,优先本地负载使用，余电上网,必须接入高压电网,,,,C,,已初审,,否
PV-006,选择判断题,6,单选题,single,单选题,大型山丘地面光伏电站中，解决组件朝向不一致问题的关键技术是?,增大组件面积,使用MPPT技术,提高电压等级,增加蓄电池容量,,,,B,,已初审,,否
PV-007,选择判断题,7,单选题,single,单选题,光伏组件寿命长的优点主要体现在?,可移动性强,一次投资长期使用,安装简单,不受天气影响,,,,B,,已初审,,否
PV-008,选择判断题,8,单选题,single,单选题,大型荒漠光伏电站的主要挑战是?,阴影遮挡,朝向不一致,强风沙、高温差,电网不稳定,,,,C,,已初审,,否
PV-009,选择判断题,9,单选题,single,单选题,光伏电站的“检有压合闸”功能中，电压恢复后需稳定多长时间?,几毫秒,几秒到几分钟,几小时,几天,,,,B,,已初审,,否
PV-010,选择判断题,10,单选题,single,单选题,下列哪项不是光伏电站运维管理的内容?,巡检维护,定检维护,设备销售,运行管理,,,,C,,已初审,,否
PV-011,选择判断题,11,单选题,single,单选题,下列哪项属于电流通过人体内部、破坏内部组织并可能危及生命的触电类型?,电伤,电击,灼伤,皮肤金属化,,,,B,,已初审,,否
PV-012,选择判断题,12,单选题,single,单选题,在停电检修设备时，装设临时接地线的操作顺序正确的是?,先接设备端，后接地端,只接设备端即可,先接地端，后接设备端,无需接地线,,,,C,,已初审,,否
PV-013,选择判断题,13,单选题,single,单选题,临时接地线应使用的最小导线截面积是多少?,1.5 mm²,2.5 mm²,4.0 mm²,6.0 mm²,,,,D,,需人工核对,题面选项未给出常见携带型短路接地线 25mm²；按本题给定选项暂取最大截面 D，建议对照教师课件。,否
PV-014,选择判断题,14,单选题,single,单选题,在带电检修低压线路时，断开导线的正确顺序是?,先断地线，后断相线,同时断开,先断相线，后断地线,任意顺序均可,,,,C,,已初审,,否
PV-015,选择判断题,15,单选题,single,单选题,以下哪项不属于安全用电的组织措施?,制定安全操作规程,安装自动断电装置,加强安全教育与培训,建立健全检修制度,,,,B,,已初审,,否
PV-016,选择判断题,16,单选题,single,单选题,光伏组件中，光电转换效率最高的是哪种类型?,多晶硅,单晶硅,非晶硅,多元化合物,,,,B,,已初审,,否
PV-017,选择判断题,17,单选题,single,单选题,光伏组件的开路电压与温度的关系是?,成正比,成反比,无关,先升后降,,,,B,,已初审,,否
PV-018,选择判断题,18,单选题,single,单选题,下列哪种现象会导致光伏组件局部发热并消耗功率?,光致衰减,热斑效应,温度系数,填充因子,,,,B,,已初审,,否
PV-019,选择判断题,19,单选题,single,单选题,光伏组件的输出功率随温度升高如何变化?,增加,减少,不变,先增后减,,,,B,,已初审,,否
